"","TABLE_NAME","COMMENTS","schema"
"42","BS2002HAULTOTALDF2",NA,"RACEBASE"
"43","BS2003HAUL",NA,"RACEBASE"
"44","BS2003HAULTOTAL_DF2",NA,"RACEBASE"
"45","BS2004HAUL",NA,"RACEBASE"
"46","BS2004HAULTOTAL_DF2",NA,"RACEBASE"
"47","BS2004HAUL_DF2",NA,"RACEBASE"
"48","BS2007HAUL",NA,"RACEBASE"
"49","BS2011HAUL",NA,"RACEBASE"
"50","BS82HAUL",NA,"RACEBASE"
"51","BS83HAUL",NA,"RACEBASE"
"52","BS84HAUL",NA,"RACEBASE"
"53","BS85HAUL",NA,"RACEBASE"
"54","BS86HAUL",NA,"RACEBASE"
"55","BS87HAUL",NA,"RACEBASE"
"56","BS88HAUL",NA,"RACEBASE"
"57","BS89HAUL",NA,"RACEBASE"
"58","BS90HAUL",NA,"RACEBASE"
"59","BS91HAUL",NA,"RACEBASE"
"60","BS92HAUL",NA,"RACEBASE"
"61","BS93HAUL",NA,"RACEBASE"
"62","BS94HAUL",NA,"RACEBASE"
"63","BS95HAUL",NA,"RACEBASE"
"64","BS96HAUL",NA,"RACEBASE"
"65","BS97HAUL",NA,"RACEBASE"
"66","BS98HAUL",NA,"RACEBASE"
"67","BS98HAULCRABEXP",NA,"RACEBASE"
"68","BS99HAUL",NA,"RACEBASE"
"69","BSLEG1POLLOCK",NA,"RACEBASE"
"70","CATCH_ADFG",NA,"RACEBASE"
"71","CATCH_ORIG","Summary values for organisms caught in the net, summarized by species and haul.  Fields contain total weight and number of each species and whether any organisms were collected for voucher specimens","RACEBASE"
"72","CATCH_PREMERGE",NA,"RACEBASE"
"73","CORRECTED_PROFILE",NA,"RACEBASE"
"74","CRUISE_ORIG","A lookup table for every cruise that is in the RACEBASE database.  It summarizes locations, dates, the country performing the survey and cruise name for each cruise ","RACEBASE"
"75","DEPTH",NA,"RACEBASE"
"76","DISTANCE03",NA,"RACEBASE"
"77","EBS05SPECIMEN",NA,"RACEBASE"
"78","EBS06HAUL",NA,"RACEBASE"
"79","EVENT","Header information for the PROFILE table: date, location, stratum, station, bottom depth,  type of bathythermic device, and upcast/downcast flag value representing which limb of the profile is represented in the data stream","RACEBASE"
"80","EVENTX",NA,"RACEBASE"
"81","FISHING_POWER",NA,"RACEBASE"
"82","FPC",NA,"RACEBASE"
"83","GOA1340501L4_SPECIMEN",NA,"RACEBASE"
"84","GOA1430501L4_SPECIMEN",NA,"RACEBASE"
"85","GOA1470501L3_SPECIMEN",NA,"RACEBASE"
"86","GOA2007NEWSPECIES",NA,"RACEBASE"
"87","GWTTABLE",NA,"RACEBASE"
"88","HAULX",NA,"RACEBASE"
"89","HAUL_ADFG",NA,"RACEBASE"
"90","HAUL_ORIG","Summary values describing each haul (i.e. location, duration,  gear depth,  distance, net width, net height,  bottom type, bottom depth and temperature).  Note:  For hydroaccoustic data (any record with a region of HBS, HG or HWC) trawls are performed only for target confirmation and should not to be used for calculating CPUE.","RACEBASE"
"91","LENGTH_ADFG",NA,"RACEBASE"
"92","LENGTH_ORIG","Summarizes length frequency by species and sex for each haul","RACEBASE"
"93","LENGTH_PREMERGE",NA,"RACEBASE"
"94","LENGTH_PREMERGE_OLD",NA,"RACEBASE"
"95","MAX_DEPTH",NA,"RACEBASE"
"96","NOTES","A historcially maintained table, meant to capture general metadata about RACEBASE cruises.","RACEBASE"
"97","NWE05SPECIMEN",NA,"RACEBASE"
"98","NWE06CATCH",NA,"RACEBASE"
"99","NWE06CATCH_MERGED",NA,"RACEBASE"
"100","NWE06HAUL",NA,"RACEBASE"
"101","NWE06LENGTH",NA,"RACEBASE"
"102","NWE06LENGTH_MERGED",NA,"RACEBASE"
"103","NWELEG3HAUL",NA,"RACEBASE"
"104","NWELEG3SPECIMEN",NA,"RACEBASE"
"105","NWELEG4CATCH",NA,"RACEBASE"
"106","NWELEG4HAUL",NA,"RACEBASE"
"107","NWELEG4LENGTH",NA,"RACEBASE"
"108","OEX11CATCH",NA,"RACEBASE"
"109","OEX11HAUL",NA,"RACEBASE"
"110","OEX11LENGTH",NA,"RACEBASE"
"111","OLDCATCHX",NA,"RACEBASE"
"112","OLDLENGTHX",NA,"RACEBASE"
"113","OLD_SPECIES_CLASSIFICATION",NA,"RACEBASE"
"114","PAVLOFCATCH",NA,"RACEBASE"
"115","PERFORMANCE",NA,"RACEBASE"
"116","PK971CATCH",NA,"RACEBASE"
"117","PK971LENGTH",NA,"RACEBASE"
"118","PROFILE"," Water column data.  It references RACEBASE.EVENT for each individual events","RACEBASE"
"119","RECONCILED_CRUISES",NA,"RACEBASE"
"120","RECOVERY",NA,"RACEBASE"
"121","REFMCODE",NA,"RACEBASE"
"122","RELEASE",NA,"RACEBASE"
"123","RKC02HAUL",NA,"RACEBASE"
"124","SABLE",NA,"RACEBASE"
"125","SEAWOLFHAUL",NA,"RACEBASE"
"126","SLOPE04CATCH",NA,"RACEBASE"
"127","SLOPE04HAUL",NA,"RACEBASE"
"128","SLOPE04LENGTH",NA,"RACEBASE"
"129","SLOPE04SPECIMEN",NA,"RACEBASE"
"130","SPECIES_CLASSIFICATION",NA,"RACEBASE"
"131","SPECIES_NODC_ITIS_FISH",NA,"RACEBASE"
"132","SPECIMENX",NA,"RACEBASE"
"133","SPECIMEN_ADFG",NA,"RACEBASE"
"134","SPECIMEN_ORIG","Raw,  biological specimen data for each haul","RACEBASE"
"135","SS11CATCH",NA,"RACEBASE"
"136","SS11HAUL",NA,"RACEBASE"
"137","SS11LENGTH",NA,"RACEBASE"
"138","STATIONS","Lookup of station_id and their coordinates.   Update: addition of the northern Bering Sea stations in 2010.  144 new northern stations","RACEBASE"
"139","STOCK",NA,"RACEBASE"
"140","STOCK1",NA,"RACEBASE"
"141","STRATUM","Lookup table that stores the area of each stratum for computational purposes.  Update: The addition of the northern Bering Sea stations in 2010 required that the boundaries for three of the northern strata (70, 81, and 82) be reconfigured and a new stratum (71) be created to include the areas Norton Sound and north of St. Lawrence Island . ","RACEBASE"
"142","TEST_TABLE",NA,"RACEBASE"
"143","TOP95CATCH",NA,"RACEBASE"
"144","TOP95HAUL",NA,"RACEBASE"
"145","TOP95LENGTH",NA,"RACEBASE"
"146","TRAWLEX02_CATCH",NA,"RACEBASE"
"147","TTABLE",NA,"RACEBASE"
"148","VOUCHER",NA,"RACEBASE"
"149","BIN$9I4utUUVHtDgUyh4N6GvrA==$0",NA,"RACEBASE_FOSS"
"150","BIN$9IuWTc6PFBzgUyh4N6FeoA==$0","The full join the JOIN_FOSS_CPUE_CATCH and JOIN_FOSS_CPUE_HAUL datasets using HAULJOIN to create zero-filled (presence and absence) observations and catch-per-unit-effort (CPUE) estimates for all identified species at a standard set of stations in the northern Bering Sea (NBS), eastern Bering Sea (EBS), Gulf of Alaska (GOA), Aleutian Islands (AI), Bering Sea Slope (BSS) Surveys conducted by the Resource Assessment and Conservation Engineering Division (RACE) Groundfish Assessment Program (GAP) oThere are no legal restrictions on access to the data.The data from this dataset are shared on the Fisheries One Stop Stop (FOSS) platform (https://www.fisheries.noaa.gov/foss/f?p=215:28:2283554735243:::::).The GitHub repository for the scripts that created this code can be found at https://github.com/afsc-gap-products/gap_public_data.For more information about codes used in the tables, please refer to the survey code books (https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual).These data were last updated January 25, 2023.","RACEBASE_FOSS"
"151","BIN$9IuWTc6QFBzgUyh4N6FeoA==$0","The full join the JOIN_FOSS_CPUE_CATCH and JOIN_FOSS_CPUE_HAUL datasets using HAULJOIN to create zero-filled (presence and absence) observations and catch-per-unit-effort (CPUE) estimates for all identified species at a standard set of stations in the northern Bering Sea (NBS), eastern Bering Sea (EBS), Gulf of Alaska (GOA), Aleutian Islands (AI), Bering Sea Slope (BSS) Surveys conducted by the Resource Assessment and Conservation Engineering Division (RACE) Groundfish Assessment Program (GAP) oThere are no legal restrictions on access to the data.The data from this dataset are shared on the Fisheries One Stop Stop (FOSS) platform (https://www.fisheries.noaa.gov/foss/f?p=215:28:2283554735243:::::).The GitHub repository for the scripts that created this code can be found at https://github.com/afsc-gap-products/gap_public_data.For more information about codes used in the tables, please refer to the survey code books (https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual).These data were last updated January 25, 2023.","RACEBASE_FOSS"
"152","FOSS_CPUE_ZEROFILLED","This dataset includes zero-filled (presence and absence) observations and  catch-per-unit-effort (CPUE) estimates for most identified species at a standard set of stations in the northern Bering Sea (NBS), eastern Bering Sea (EBS), Gulf of Alaska (GOA), Aleutian Islands (AI), Bering Sea Slope (BSS) Surveys conducted by the Resource Assessment and Conservation Engineering Division (RACE) Groundfish Assessment Program (GAP) oThere are no legal restrictions on access to the data.The data from this dataset are shared on the Fisheries One Stop Stop (FOSS) platform (https://www.fisheries.noaa.gov/foss/f?p=215:28:2283554735243:::::).The GitHub repository for the scripts that created this code can be found at https://github.com/afsc-gap-products/gap_public_data.For more information about codes used in the tables, please refer to the survey code books (https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual).These data were last updated January 25, 2023.","RACEBASE_FOSS"
"153","JOIN_FOSS_CPUE_HAUL",NA,"RACEBASE_FOSS"
"154","ZARCHIVE_AFSC_ITIS_WORMS","2023-01-28","RACEBASE_FOSS"
"155","ZARCHIVE_FOSS_CPUE_ZEROFILLED","This dataset includes an identification matrix for for all fishes and invertebrates identified in the Northern Bering Sea (NBS), Eastern Bering Sea (EBS), Bering Sea Slope (BSS), Gulf of Alaska (GOA), and Aleutian Islands (AI) Surveys conducted by the esource Assessment and Conservation Engineering Division (RACE) Groundfish Assessment Program (GAP) of the Alaska Fisheries Science Center (AFSC). This dataset includes:   AFSC species codes, listed common names, and scientific names (SPECIES_CODE, SCIENTIFIC_NAME, COMMON_NAME, SPECIES_NAME);   species code as identified in the Integrated Taxonomic Information System (https://itis.gov/); and     species code as identified in the World Register of Marine Species (WoRMS) (https://www.marinespecies.org/). There are no legal restrictions on access to the data. The GitHub repository for the scripts that created this code can be found at https://github.com/afsc-gap-products/gap_public_data. For more information about codes used in the tables, please refer to the survey code books (https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual). These data were last updated January 05, 2023. ","RACEBASE_FOSS"
"156","ZARCHIVE_RACEBASE_PUBLIC_FOSS","This dataset includes non-zero (presence) observations and catch-per-unit-effort (CPUE) estimates for most identified species at a standard set of stations in the Northern Bering Sea (NBS), Eastern Bering Sea (EBS), Bering Sea Slope (BSS), Gulf of Alaska (GOA), and Aleutian Islands (AI) Surveys conducted by the esource Assessment and Conservation Engineering Division (RACE) Groundfish Assessment Program (GAP) of the Alaska Fisheries Science Center (AFSC). There are no legal restrictions on access to the data. The data from this dataset are shared on the Fisheries One Stop Stop (FOSS) platform (https://www.fisheries.noaa.gov/foss/f?p=215:200:13045102793007:Mail:NO:::). The GitHub repository for the scripts that created this code can be found at https://github.com/afsc-gap-products/gap_public_dataThese data were last updated 2022-11-10 18:37:20.","RACEBASE_FOSS"
"157","SCOPE_LOOKUP","Stores protocols for length of wire out relative to bottom depth.
Originates from Appendix 1 of Stauffer 2003.","RACE_EDIT"
"158","SPEED_LOOKUP","Stores protocols for length of wire out relative to bottom depth.
Originates from Appendix 1 of Stauffer 2003.","RACE_EDIT"
"159","ADMIN_CATCH_LOOKUP",NA,"RACEBASE2"
"160","ADMIN_HAUL_LOOKUP",NA,"RACEBASE2"
"161","ADMIN_LEG_LOOKUP",NA,"RACEBASE2"
"162","ADMIN_NM_GEAR",NA,"RACEBASE2"
"163","ADMIN_SUBSAMPLE_LOOKUP",NA,"RACEBASE2"
"164","ADMIN_VOUCHER_LOOKUP",NA,"RACEBASE2"
"165","ADP_CODE","Lookup table for CODE, METHOD, and TYPE columns in RACEBase2.  Contains vestigial codes from the RACE ADP Codebook as well as new codes which enforce data integrity in the database by restricting standard values which may be recorded.","RACEBASE2"
"166","ADP_CODE_CATEGORY","Lookup table of categories for ADP_CODE.","RACEBASE2"
"167","ADP_LOOKUP",NA,"RACEBASE2"
"168","AGENCY","Lookup table for acronyms and descriptions of agencies/organizations involved in the survey.","RACEBASE2"
"169","AGENCY_AUDIT",NA,"RACEBASE2"
"170","BOTTOM_CONTACT","Contains datapoints of the tilt angle of the bottom contact sensor at a specified time interval throughout the haul.","RACEBASE2"
"171","BOTTOM_CONTACT_GEAR","Details the gear used to collect bottom contact data.","RACEBASE2"
"172","CATCH_COMPOSITION","Contains the basic level of catch data (i.e. what organisms or other objects were identified in the catch), characterized by the IDENTIFICATION_ID.  Recursive relationship with 'MIXTURE_ID' allows multiple subsamples to be entered.","RACEBASE2"
"173","CATCH_PROCESSING","Contains aggregate data collected for each organism or object Identified in CATCH_COMPOSITION (i.e. weights and counts per IDENTIFICATION_ID).","RACEBASE2"
"174","COUNTRY","Lookup table for country of origin for VESSEL or AGENCY.","RACEBASE2"
"175","CRAB_CODE","Generalized lookup table for set of species codes used by Shellfish Assessment in crab data collection.","RACEBASE2"
"176","CRAB_COMPOSITION","Header table for crab data.  Analagous to CATCH_COMPOSITION in general RACEBASE design.","RACEBASE2"
"177","CRAB_PROCESSING","Contains detailed data of each crab processed in a haul.","RACEBASE2"
"178","CRAB_SPECIAL","Contains optional morphometric measurements taken from a crab in CRAB_DATA.","RACEBASE2"
"179","CRAB_SPECIES","Relation table that coordinates the species codes used by the Shellfish Assessment Group with the 'IDENT_ID' used by RACEBASE.","RACEBASE2"
"180","CREW","Lists all personnel involved in any aspect of a particular leg of a survey and describes their role.  ","RACEBASE2"
"181","CREW_LOOKUP",NA,"RACEBASE2"
"182","CRUISE","Contains data common to all vessels/legs in a survey.  The actual title of the survey is normalized into several fields.","RACEBASE2"
"183","CRUISE_LOOKUP",NA,"RACEBASE2"
"184","EVENT_LOG","Contains data qualifying at which point in the Position data stream a particular type of event occurred.  Events are as listed for the ADP Tow Timelog Codes, but may be extended.","RACEBASE2"
"185","FISH_PROCESSING","Contains details on data obtained from a single fish.  'PROCESSING_CODE' indicates the source process for the data (i.e. 'Length Frequency' or 'Otolith Processing').","RACEBASE2"
"186","GEAR","Contains general information for a ""named"" gear configuration.","RACEBASE2"
"187","GEAR_CONFIGURATION","Organizes gear components into a logical configuration of assembled pieces.","RACEBASE2"
"188","GEAR_CONFIGURATION_CATEGORY","Support table for GEAR_CONFIGURATION categories.","RACEBASE2"
"189","GEAR_MEASUREMENT","Contains multi-dimensional, relative diagnostics for individual gear components.","RACEBASE2"
"190","HAUL_NOTE","Contains notes ancillary to the actual data of a haul.","RACEBASE2"
"191","HAUL_NOTE_CATEGORY","Support table for  Categories used in the HAUL_NOTE table.","RACEBASE2"
"192","HAUL_OVERVIEW","Parent table for haul data.  Contains high level data regarding a given haul.  Methods indicate in which child table a particular attribute is stored or derived and how the data were collected.","RACEBASE2"
"193","HAUL_PERFORMANCE","Qualifies the various aspects of performance for a Haul.","RACEBASE2"
"194","HAUL_PERFORMANCE_DETAIL","Contains one or more Performance Codes per Performance Type that describes the performance of the Haul.","RACEBASE2"
"195","HAUL_PROCESSING","Contains measurement values and method codes for haul. May include data such as: load cell weight(s), volume measurement(s) for all pertinent containers, average net spread, weather observations, etc.","RACEBASE2"
"196","IDENTIFICATION","Lookup table that describes, on a spectrum from generic to specific, things identified in a Haul.  The spectum provides a means for generalized identification of biota and inaninmate objects found in a Haul, as well as details beyond the species level, such as life history stage or relative size class if such are Identified in determining the Composition of the Haul.","RACEBASE2"
"197","LEG","Contains data pertaining to a particular leg of a given cruise.  Potential to be used for administrative cruise preparation...","RACEBASE2"
"198","NET_MENSURATION","For a given Sensor, contains datapoints of the values at time intervals throughout the Haul.","RACEBASE2"
"199","NET_MENSURATION_GEAR","Details the gear used to collect net mensuration data.","RACEBASE2"
"200","NET_MENSURATION_SENSOR","Describes a sensor component of a Net Mensuration Gear.  Coordinates a net mensuration sensor with the type of data collected.","RACEBASE2"
"201","OBJECTIVE","Characterizes the objective of the study being undertaken (i.e. SURVEY, EXPERIMENT).  This entity standardizes the naming conventions for operations to be included in RACEBase2.","RACEBASE2"
"202","OBJECTIVE_DETAIL","Can represent various qualifications of an OBJECTIVE under various categories.  May contain one or more Code for each Category.","RACEBASE2"
"203","OBJECTIVE_LOOKUP",NA,"RACEBASE2"
"204","PERSONNEL","Name of a person involved in fisheries research data collection and analysis.","RACEBASE2"
"205","PERSONNEL_AUDIT","Transactional Table to record historical value changes in the PERSONNEL table.  Mirrors the physical structure of the parent table and adds audit values.","RACEBASE2"
"206","POSITION","Contains datapoints of the global coordinates of the vessel at time intervals throughout the Haul.","RACEBASE2"
"207","POSITION_GEAR","Details the gear used to collect the data in the POSITION table.","RACEBASE2"
"208","POSITION_GEAR_LOOKUP",NA,"RACEBASE2"
"209","PROFILE","Contains datapoints of the temperature/depth profile of the haul at time intervals throughout the haul.","RACEBASE2"
"210","PROFILE_GEAR","Details the gear used for collecting profile data (may include Bathythermographs, Light Intensity, CTD, etc.).","RACEBASE2"
"211","PROFILE_SENSOR","Contains details of the Sensors included in the Profile Gear.","RACEBASE2"
"212","RACE_SPECIES","Genus/species groups for organisms identified in CATCH_COMPOSITION.  This table will become obsolete once the system is integrated with ITIS.","RACEBASE2"
"213","SPECIAL_STUDY","Contains general information regarding the special studies conducted on a particular Cruise and Vessel.  ","RACEBASE2"
"214","SPECIES_LOOKUP",NA,"RACEBASE2"
"215","SPECIMEN","Contains data regarding specific samples collected from a fish.","RACEBASE2"
"216","STATION","Contains the physical description of all possible sampling stations within a given Stratum.","RACEBASE2"
"217","STATION_COORDINATES","Contains geographic coordinates for specific reference points for a station.","RACEBASE2"
"218","STATION_DETAIL","Contains details of a Station used in a Survey, including characterizations of the bathymetry of the Station.  This entity is used primarily for Survey planning and for coordinating pre- versus post-processing for a Cruise.","RACEBASE2"
"219","STATION_LOOKUP",NA,"RACEBASE2"
"220","STATION_PLAN","Contains the Stations for a given Cruise at which Hauls were attempted.","RACEBASE2"
"221","STATION_PLAN_LOOKUP",NA,"RACEBASE2"
"222","STRATA_SET","Contains general information for stratification schemes applied to survey design.","RACEBASE2"
"223","STRATA_SET_LOOKUP",NA,"RACEBASE2"
"224","STRATUM","Contains data summarizing individual strata within a given Strata Set.","RACEBASE2"
"225","STRATUM_COORDINATES","Contains geographic coordinates for specific reference points for a station.","RACEBASE2"
"226","STRATUM_LOOKUP",NA,"RACEBASE2"
"227","TRANSACTION","Table populated programmatically to track database transactions - optionally available to data managers for comments on specific transactions.","RACEBASE2"
"228","VESSEL","Contains details about the individual vessels used in the survey.","RACEBASE2"
"229","VESSEL_AUDIT","Transactional Table to record historical value changes in the VESSEL table.  Mirrors the physical structure of the parent table and adds audit values.","RACEBASE2"
"230","VIEW_BOTTOM_CONTACT",NA,"RACEBASE2"
"231","VIEW_CATCH_COMPOSITION",NA,"RACEBASE2"
"232","VIEW_EVENTLOG",NA,"RACEBASE2"
"233","VIEW_FISH_LENGTH",NA,"RACEBASE2"
"234","VIEW_HAUL_PERFORMANCE",NA,"RACEBASE2"
"235","VIEW_NET_MENSURATION",NA,"RACEBASE2"
"236","VIEW_PROFILE",NA,"RACEBASE2"
"237","VIEW_SPECIMEN",NA,"RACEBASE2"
"238","VOUCHER_MEASUREMENT","Contains morphometrics for individual specimens processed from vouchers.","RACEBASE2"
"239","VOUCHER_MEASUREMENT_CATEGORY","Categories for the various possible morphometrics taken from a specimen (i.e. Length - fork length; Width - standard; Weight - scale). ","RACEBASE2"
"240","VOUCHER_NOTE","Notes specific to the processing of a Voucher.","RACEBASE2"
"241","VOUCHER_NOTE_CATEGORY","Support table for  Categories used in the VOUCHER_NOTE table.","RACEBASE2"
"242","VOUCHER_PROCESSING","Contains various codes identifying what processes have been undertaken for a Vouchered specimen (i.e. Photographed, Tissue Sample, X-Rayed, etc.)","RACEBASE2"
"243","VOUCHER_SPECIMEN","Contains details of specimens collected with the same Voucher.","RACEBASE2"
"244","AGECOMP_TOTAL",NA,"AI"
"245","AGECOMP_TOTAL_AUG2018",NA,"AI"
"246","AGECOMP_TOTAL_AUG2019",NA,"AI"
"247","AGECOMP_TOTAL_JUNE2017",NA,"AI"
"248","AGECOMP_TOTAL_JUNE2018",NA,"AI"
"249","AGECOMP_TOTAL_SEP2019",NA,"AI"
"250","AGECOMP_TOTAL_SEP2020",NA,"AI"
"251","AGECOMP_TOTAL_SEP2021",NA,"AI"
"252","AGECOMP_TOTAL_SEP2520",NA,"AI"
"253","AIGRID_GIS",NA,"AI"
"254","BIOMASS_AREA",NA,"AI"
"255","BIOMASS_AREA_DEPTH",NA,"AI"
"256","BIOMASS_BY_LENGTH",NA,"AI"
"257","BIOMASS_DEPTH",NA,"AI"
"258","BIOMASS_INPFC",NA,"AI"
"259","BIOMASS_INPFC_DEPTH",NA,"AI"
"260","BIOMASS_STRATUM","Biomass estimated by stratum using G:\GOA\biomass_sizecomp_scripts\biomass\biomass.sql.","AI"
"261","BIOMASS_TOTAL",NA,"AI"
"262","CPUE",NA,"AI"
"263","DATA_REPORT_SORT_ORDER",NA,"AI"
"264","SIZECOMP_AREA",NA,"AI"
"265","SIZECOMP_AREA_DEPTH",NA,"AI"
"266","SIZECOMP_DEPTH",NA,"AI"
"267","SIZECOMP_INPFC",NA,"AI"
"268","SIZECOMP_INPFC_DEPTH",NA,"AI"
"269","SIZECOMP_STRATUM",NA,"AI"
"270","SIZECOMP_TOTAL",NA,"AI"
"271","STATIONS_3NM",NA,"AI"
"272","STATION_ALLOCATION",NA,"AI"
"273","AGECOMPTOTALAIGOA",NA,"GOA"
"274","AGECOMP_TOTAL",NA,"GOA"
"275","AGECOMP_TOTAL_SEP2020",NA,"GOA"
"276","AGECOMP_TOTAL_SEP2021",NA,"GOA"
"277","ANALYSIS_SPECIES",NA,"GOA"
"278","BIENNIAL_SURVEYS",NA,"GOA"
"279","BIOMASSAREAAIGOA",NA,"GOA"
"280","BIOMASSDEPTHAIGOA",NA,"GOA"
"281","BIOMASSINPFCAIGOA",NA,"GOA"
"282","BIOMASSINPFCDEPTHAIGOA",NA,"GOA"
"283","BIOMASSSTRATUMAIGOA",NA,"GOA"
"284","BIOMASSTOTALAIGOA",NA,"GOA"
"285","BIOMASS_AREA",NA,"GOA"
"286","BIOMASS_BY_LENGTH",NA,"GOA"
"287","BIOMASS_DEPTH",NA,"GOA"
"288","BIOMASS_INPFC",NA,"GOA"
"289","BIOMASS_INPFCMODCODGT27",NA,"GOA"
"290","BIOMASS_INPFCMODCODLT27",NA,"GOA"
"291","BIOMASS_INPFC_DEPTH",NA,"GOA"
"292","BIOMASS_STRATUM",NA,"GOA"
"293","BIOMASS_STRATUMCODGT27",NA,"GOA"
"294","BIOMASS_STRATUMCODLT27",NA,"GOA"
"295","BIOMASS_STRATUM_OTHER",NA,"GOA"
"296","BIOMASS_TOTAL",NA,"GOA"
"297","BIOMASS_TOTALCODGT27",NA,"GOA"
"298","BIOMASS_TOTALCODLT27",NA,"GOA"
"299","BIOMASS_TOTAL_OTHER",NA,"GOA"
"300","CODAGECOMP_TOTAL",NA,"GOA"
"301","CPUE",NA,"GOA"
"302","CPUEAIGOA",NA,"GOA"
"303","CPUECODGT27",NA,"GOA"
"304","CPUE_OTHER",NA,"GOA"
"305","GOAGRID",NA,"GOA"
"306","GOAGRID_GIS",NA,"GOA"
"307","GOAGRID_GIS_2015",NA,"GOA"
"308","GOAGRID_GIS_ATTRIBS",NA,"GOA"
"309","GOA_MANAGEMENT_GROUPS",NA,"GOA"
"310","GOA_STRATA",NA,"GOA"
"311","GOA_SUMMARY_STRATA",NA,"GOA"
"312","GOA_SURVEY_GRIDPOINTS",NA,"GOA"
"313","LENGTH_WEIGHT_PARAMETERS",NA,"GOA"
"314","PLANNING_DATA",NA,"GOA"
"315","POSSIBLE_LENGTHS",NA,"GOA"
"316","RACE_REFM_SPECIES_CODES",NA,"GOA"
"317","SIZECOMP_AREA",NA,"GOA"
"318","SIZECOMP_DEPTH",NA,"GOA"
"319","SIZECOMP_INPFC",NA,"GOA"
"320","SIZECOMP_INPFC_DEPTH",NA,"GOA"
"321","SIZECOMP_STRATUM",NA,"GOA"
"322","SIZECOMP_TOTAL",NA,"GOA"
"323","SIZESTRATUMAIGOA",NA,"GOA"
"324","SPLIT_FRACTIONS",NA,"GOA"
"325","SPLIT_STRATA",NA,"GOA"
"326","STATIONS_3NM",NA,"GOA"
"327","STATION_ALLOCATION",NA,"GOA"
"328","TTABLE",NA,"GOA"
"329","AGECOMP_EBS_PLUSNW_STRATUM",NA,"HAEHNR"
